月份,日期,時間,買入,賣出,資金,購入單位,累計單位,累計財富,累計投入,月報酬率
1,0105-01-04,9:03:23,"1,121","1,133",1000,0.8921,0.8921,1010.7047,1000,1.010704728
2,0105-02-01,9:02:23,"1,198","1,213",1000,0.8347,1.7268,2094.5904,2000,1.047295224
3,0105-03-01,9:01:45,"1,316","1,330",1000,0.7599,2.4867,3307.2626,3000,1.102420872
4,0105-04-01,9:02:03,"1,272","1,286",1000,0.7862,3.2728,4208.8557,4000,1.052213926
5,0105-05-03,9:01:44,"1,330","1,344",1000,0.7519,4.0247,5409.2060,5000,1.081841199
6,0105-06-01,9:01:43,"1,270","1,283",1000,0.7874,4.8121,6173.9351,6000,1.028989183
7,0105-07-01,9:03:45,"1,362","1,377",1000,0.7342,5.5463,7637.2865,7000,1.091040929
8,0105-08-01,9:03:24,"1,368","1,382",1000,0.7310,6.2773,8675.2520,8000,1.084406505
9,0105-09-02,9:03:45,"1,331","1,345",1000,0.7513,7.0286,9453.5097,9000,1.050389969
10,0105-10-03,9:04:24,"1,319","1,333",1000,0.7582,7.7868,10379.7802,10000,1.037978024
11,0105-11-01,9:03:25,"1,287","1,301",1000,0.7770,8.5638,11141.4812,11000,1.01286193
12,0105-12-01,9:03:44,"1,195","1,208",1000,0.8368,9.4006,11355.9281,12000,0.946327342
13,0106-01-03,9:03:25,"1,192","1,206",1000,0.8389,10.2395,12348.8719,13000,0.94991322
14,0106-02-02,9:03:24,"1,216","1,229",1000,0.8224,11.0619,13595.0718,14000,0.971076558
15,0106-03-01,9:03:24,"1,220","1,232",1000,0.8197,11.8816,14638.0936,15000,0.975872905
16,0106-04-05,9:03:42,"1,220","1,229",1000,0.8197,12.7012,15609.8259,16000,0.97561412
17,0106-05-02,9:03:25,"1,212","1,225",1000,0.8251,13.5263,16569.7470,17000,0.974691001
18,0106-06-01,9:03:21,"1,219","1,232",1000,0.8203,14.3467,17675.0958,18000,0.981949765
19,0106-07-03,9:03:25,"1,204","1,218",1000,0.8306,15.1772,18485.8703,19000,0.972940543
20,0106-08-01,9:02:41,"1,225","1,238",1000,0.8163,15.9936,19800.0272,20000,0.990001362
21,0106-09-01,9:02:05,"1,273","1,286",1000,0.7855,16.7791,21577.9302,21000,1.027520486
22,0106-10-02,9:03:47,"1,235","1,248",1000,0.8097,17.5888,21950.8505,22000,0.997765932
23,0106-11-01,9:04:45,"1,223","1,235",1000,0.8177,18.4065,22732.0077,23000,0.988348163
24,0106-12-01,9:03:46,"1,223","1,236",1000,0.8177,19.2241,23761.0438,24000,0.990043493
