月份,日期,開市,最高,最低,收市*,經調整收市價**,成交量,股息,資金,購入股數,累計股數,累計投入,累計財富
1,2016-01-01,143,143.5,130.5,143,115.22,"830,196,000",0,1000,6.993006993,6.993006993,1000,1000
2,2016-02-01,144,152.5,141.5,149,120.05,"534,635,000",0,1000,6.711409396,13.70441639,2000,2041.958042
3,2016-03-01,148.5,163,148.5,162,130.52,"715,995,000",0,1000,6.172839506,19.8772559,3000,3220.115455
4,2016-04-01,161,162.5,149,150,120.86,"645,508,000",0,1000,6.666666667,26.54392256,4000,3981.588384
5,2016-05-01,150,158,143,156.5,126.09,"803,813,000",0,1000,6.389776358,32.93369892,5000,5154.123881
6,2016-06-01,156,182,154,162.5,130.93,"673,187,000",0,1000,6.153846154,39.08754507,6000,6351.726074
7,2016-07-01,164.5,177,160.5,172.5,144.43,"678,152,000",6,1234.52527,7.156668234,46.24421331,7000,7977.126796
8,2016-08-01,175,179.5,171.5,176.5,147.78,"500,200,000",0,1000,5.66572238,51.90993569,8000,9162.103649
9,2016-09-01,176,187.5,173,184,154.06,"601,587,000",0,1000,5.434782609,57.3447183,9000,10551.42817
10,2016-10-01,186,193,184.5,188.5,157.83,"481,654,000",0,1000,5.305039788,62.64975808,10000,11809.4794
11,2016-11-01,188.5,190.5,179,183,153.23,"603,656,000",0,1000,5.464480874,68.11423896,11000,12464.90573
12,2016-12-01,182,187.5,178,181.5,151.97,"533,781,000",0,1000,5.509641873,73.62388083,12000,13362.73437
13,2017-01-01,181.5,186.5,179,185.5,155.32,"459,455,000",0,1000,5.39083558,79.01471641,13000,14657.22989
14,2017-02-01,185.5,191,183,189,158.25,"541,039,000",0,1000,5.291005291,84.3057217,14000,15933.7814
15,2017-03-01,188.5,195,183,189,158.25,"612,864,000",0,1000,5.291005291,89.59672699,15000,16933.7814
16,2017-04-01,189,194.5,186.5,194.5,162.85,"422,499,000",0,1000,5.141388175,94.73811517,16000,18426.5634
17,2017-05-01,194.5,208.5,194.5,203,169.97,"579,444,000",0,1000,4.926108374,99.66422354,17000,20231.83738
18,2017-06-01,205,218.5,204.5,208.5,174.58,"715,155,000",0,1000,4.79616307,104.4603866,18000,21779.99061
19,2017-07-01,207.5,216,205.5,214.5,185.59,"451,894,000",7,1731.222706,8.070968328,112.5313549,19000,24137.97563
20,2017-08-01,212.5,219,210,216.5,187.32,"467,545,892",0,1000,4.618937644,117.1502926,20000,25363.03834
21,2017-09-01,215,223,213.5,216.5,187.32,"449,006,179",0,1000,4.618937644,121.7692302,21000,26363.03834
